"date,sku,product_name,category,quantity_sold,unit_price"
"2024-06-01,OD-4,12 Colour Magic Pen Set,Stationery,15,1.20"
"2024-06-01,OD-21020,Do Not Touch My Luggage Bag Tag,Corporate Gifts,8,1.10"
"2024-06-01,OD-50196,12 Colour Play Dough Set,Toys & Games,12,1.65"
"2024-06-01,5402601-T1,1.5m Round Tape Measure Keychain,Corporate Gifts,25,0.41"
"2024-06-01,OD-28-C,10 Pocket File-able Clear Holder,Stationery,6,1.10"
"2024-06-01,OD-4D,12 Colour Watercolour Palette,Arts & Crafts,9,1.10"
"2024-06-01,OD-10008,12 Colour Acrylic Paint,Arts & Crafts,4,1.10"
"2024-06-01,5101035-T1,10 Smiley Five-Pointed Star Pressure Balls,Toys & Games,18,0.84"
"2024-06-01,OD-23048,100 Stickers Book,Stationery,22,1.95"
"2024-06-01,OD-10005,12 Colour Brush Pen,Arts & Crafts,7,2.40"
"2024-06-02,OD-4,12 Colour Magic Pen Set,Stationery,18,1.20"
"2024-06-02,5402601-T1,1.5m Round Tape Measure Keychain,Corporate Gifts,31,0.41"
"2024-06-02,OD-50196,12 Colour Play Dough Set,Toys & Games,14,1.65"
"2024-06-02,OD-23048,100 Stickers Book,Stationery,19,1.95"
"2024-06-02,5101035-T1,10 Smiley Five-Pointed Star Pressure Balls,Toys & Games,22,0.84"
"2024-06-02,OD-21020,Do Not Touch My Luggage Bag Tag,Corporate Gifts,5,1.10"
"2024-06-02,OD-10002,12 pcs Graduation Bear Tube Colour Pencil,Stationery,11,1.65"
"2024-06-02,OD-28-C,10 Pocket File-able Clear Holder,Stationery,8,1.10"
"2024-06-02,5606037-T1,10 Ribbed Automatic Triple-Folding Umbrella,Corporate Gifts,3,5.61"
"2024-06-02,OD-4D,12 Colour Watercolour Palette,Arts & Crafts,12,1.10"
"2024-06-03,5402601-T1,1.5m Round Tape Measure Keychain,Corporate Gifts,28,0.41"
"2024-06-03,OD-4,12 Colour Magic Pen Set,Stationery,16,1.20"
"2024-06-03,OD-23048,100 Stickers Book,Stationery,25,1.95"
"2024-06-03,OD-50196,12 Colour Play Dough Set,Toys & Games,10,1.65"
"2024-06-03,5101035-T1,10 Smiley Five-Pointed Star Pressure Balls,Toys & Games,20,0.84"
"2024-06-03,OD-10005,12 Colour Brush Pen,Arts & Crafts,9,2.40"
"2024-06-03,OD-67002,10000 MAH Eco Cork Power Bank,Eco-Friendly,2,21.20"
"2024-06-03,OD-28-C,10 Pocket File-able Clear Holder,Stationery,7,1.10"
"2024-06-03,OD-10008,12 Colour Acrylic Paint,Arts & Crafts,6,1.10"
"2024-06-03,5702044-T1,10-Digit Business Calculator,Corporate Gifts,4,3.65"
"2024-06-04,OD-4,12 Colour Magic Pen Set,Stationery,21,1.20"
"2024-06-04,5402601-T1,1.5m Round Tape Measure Keychain,Corporate Gifts,35,0.41"
"2024-06-04,OD-23048,100 Stickers Book,Stationery,18,1.95"
"2024-06-04,OD-50196,12 Colour Play Dough Set,Toys & Games,13,1.65"
"2024-06-04,5101035-T1,10 Smiley Five-Pointed Star Pressure Balls,Toys & Games,17,0.84"
"2024-06-04,OD-21020,Do Not Touch My Luggage Bag Tag,Corporate Gifts,9,1.10"
"2024-06-04,OD-4D,12 Colour Watercolour Palette,Arts & Crafts,8,1.10"
"2024-06-04,OD-10002,12 pcs Graduation Bear Tube Colour Pencil,Stationery,14,1.65"
"2024-06-04,OD-67006,10000 MAH Wheat Straw Power Bank,Eco-Friendly,1,23.95"
"2024-06-04,ODP-47-A,10pc Cardboard Photo Frame,Arts & Crafts,5,1.65"
"2024-06-05,5402601-T1,1.5m Round Tape Measure Keychain,Corporate Gifts,42,0.41"
"2024-06-05,OD-4,12 Colour Magic Pen Set,Stationery,24,1.20"
"2024-06-05,OD-23048,100 Stickers Book,Stationery,31,1.95"
"2024-06-05,OD-50196,12 Colour Play Dough Set,Toys & Games,16,1.65"
"2024-06-05,5101035-T1,10 Smiley Five-Pointed Star Pressure Balls,Toys & Games,28,0.84"
"2024-06-05,OD-10005,12 Colour Brush Pen,Arts & Crafts,12,2.40"
"2024-06-05,OD-28-C,10 Pocket File-able Clear Holder,Stationery,11,1.10"
"2024-06-05,OD-21020,Do Not Touch My Luggage Bag Tag,Corporate Gifts,7,1.10"
"2024-06-05,5606037-T1,10 Ribbed Automatic Triple-Folding Umbrella,Corporate Gifts,4,5.61"
"2024-06-05,OD-4D,12 Colour Watercolour Palette,Arts & Crafts,10,1.10"
"2024-06-06,OD-4,12 Colour Magic Pen Set,Stationery,19,1.20"
"2024-06-06,5402601-T1,1.5m Round Tape Measure Keychain,Corporate Gifts,38,0.41"
"2024-06-06,OD-23048,100 Stickers Book,Stationery,27,1.95"
"2024-06-06,OD-50196,12 Colour Play Dough Set,Toys & Games,19,1.65"
"2024-06-06,5101035-T1,10 Smiley Five-Pointed Star Pressure Balls,Toys & Games,24,0.84"
"2024-06-06,OD-67011,10W/15W Bamboo Wireless Charger,Eco-Friendly,3,15.15"
"2024-06-06,OD-10002,12 pcs Graduation Bear Tube Colour Pencil,Stationery,16,1.65"
"2024-06-06,OD-28-C,10 Pocket File-able Clear Holder,Stationery,9,1.10"
"2024-06-06,OD-10008,12 Colour Acrylic Paint,Arts & Crafts,7,1.10"
"2024-06-06,5702044-T1,10-Digit Business Calculator,Corporate Gifts,6,3.65"
"2024-06-07,5402601-T1,1.5m Round Tape Measure Keychain,Corporate Gifts,33,0.41"
"2024-06-07,OD-4,12 Colour Magic Pen Set,Stationery,22,1.20"
"2024-06-07,OD-23048,100 Stickers Book,Stationery,24,1.95"
"2024-06-07,OD-50196,12 Colour Play Dough Set,Toys & Games,15,1.65"
"2024-06-07,5101035-T1,10 Smiley Five-Pointed Star Pressure Balls,Toys & Games,21,0.84"
"2024-06-07,OD-21020,Do Not Touch My Luggage Bag Tag,Corporate Gifts,8,1.10"
"2024-06-07,OD-4D,12 Colour Watercolour Palette,Arts & Crafts,11,1.10"
"2024-06-07,OD-10005,12 Colour Brush Pen,Arts & Crafts,8,2.40"
"2024-06-07,ODC-40016,10.2 Inches Felt iPad Sleeve,Corporate Gifts,2,2.50"
"2024-06-07,ODP-47-AC,10pc Cardboard Photo Frame Colour,Arts & Crafts,6,1.65"
"2024-06-08,OD-4,12 Colour Magic Pen Set,Stationery,20,1.20"
"2024-06-08,5402601-T1,1.5m Round Tape Measure Keychain,Corporate Gifts,29,0.41"
"2024-06-08,OD-23048,100 Stickers Book,Stationery,26,1.95"
"2024-06-08,OD-50196,12 Colour Play Dough Set,Toys & Games,17,1.65"
"2024-06-08,5101035-T1,10 Smiley Five-Pointed Star Pressure Balls,Toys & Games,19,0.84"
"2024-06-08,OD-28-C,10 Pocket File-able Clear Holder,Stationery,10,1.10"
"2024-06-08,OD-10002,12 pcs Graduation Bear Tube Colour Pencil,Stationery,13,1.65"
